dim1,dim2,dim3,url
-2.3723955,-0.015463838,3.5283823,https://www.equipmentsalesandsurplus.com/v/vspfiles/photos/1610086K-2T.jpg
-3.5141177,-0.2549599,0.9912529,https://texasfurniturehut.com/images/thumbs/0006596_elijah-leather-power-recliner_400.jpeg
3.055517,0.8119003,-0.8655957,https://cdn.shopify.com/s/files/1/1909/0703/products/28025v_1024x1024.jpg?v=1521740196
-1.0230371,-2.6547942,-0.34121868,https://kelliesdesigns.net/wp-content/uploads/2019/06/500-13a-264x300.jpg
-0.5641549,3.6199937,0.7372501,https://cdn.houseplansservices.com/product/9ea673f7d2d5a70f4a34a306dbdada59947096a3c5aef579733e8af160f9d8f8/w300x200.jpg?v=5
1.3986881,-0.115463644,-0.8136843,"https://static.wixstatic.com/media/fe90a3_a7df6879bcc74fa2a30a8d001b459447~mv2_d_3648_2736_s_4_2.jpg/v1/fill/w_454,h_341,fp_0.50_0.50,q_90/fe90a3_a7df6879bcc74fa2a30a8d001b459447~mv2_d_3648_2736_s_4_2.jpg"
0.030539034,0.4161766,3.4757872,https://www.teslarati.com/wp-content/uploads/2020/02/Pad-39A-F9-FH-mobile-service-tower-renders-SpaceX-1.png
0.13246551,-0.30168647,-0.62911844,https://mixandmatchmama.com/wp-content/uploads/2014/07/Mexican-Paninis.jpg
2.4621522,-1.3413354,-1.0438654,https://m.media-amazon.com/images/I/410sWyj2EcL._SL500_.jpg
1.7464274,-0.8015314,-0.06817959,https://www.hellawella.com/wp-content/uploads/2020/05/Eats_ShreddedWheat_NabiscoAd2-425x339-1.jpg
-0.99501574,-2.3882036,-0.72410893,https://i.etsystatic.com/11214251/r/il/d036de/2598035652/il_794xN.2598035652_d4ho.jpg
-0.84295213,-0.2982587,-0.74873006,https://www.vegkitchen.com/wp-content/uploads/2016/04/Brownie-Nut-Butter-Cups-cropped.jpg
-1.4239401,-0.30420834,2.6575568,https://cdn.shopify.com/s/files/1/0344/5922/2075/products/R850088_480x480.jpg?v=1615501412
3.6773508,-0.9080722,0.4246367,https://www.faraday.cam.ac.uk/wp-content/uploads/2020/02/Public_Lecture_Kimber19-363x341.jpg
-3.6638842,1.0108186,-0.8927793,https://images.webfronts.com/cache/mehkohvgrony.jpg?imgeng=/w_500/h_500/m_letterbox_ffffff_100
-0.23455957,-2.1699352,0.38926646,https://www.kroger.com/product/images/large/front/0007024230122
1.1411564,0.8429602,-0.93679905,https://media.architecturaldigest.com/photos/5c3de44e48452908810a07cb/2:1/w_1280%2Cc_limit/CK.jpg
1.960262,0.8771746,-0.69634074,http://www.guestinfrance.com/uploads/lieux/47/thumbs/Phare-dEckm%C3%BChl-bnb-chambres-dhotes-hotels.jpg
2.253567,2.388151,-0.80854696,https://idahonews.com/resources/media/f7e5c41c-41a0-494e-9b47-fbf0e045367c-large16x9_snow1.JPG
1.902645,1.2140933,0.33537096,https://faulknerbrowns.com/media/latest/newcastle-civic-centre-office-refurbishment-listed-distant-external-lh.jpg
1.7956712,3.0742779,1.8628899,http://coolibahstorage.com.au/wp-content/uploads/2017/10/20180404_141445.jpg
2.5856848,1.2271303,-1.2582619,https://www.kilmerhouse.com/sites/default/files/inline-images/2015/10/Laurel-Club-520x448.jpg
1.1232898,0.62783027,0.85677344,https://www.griffinlakecabins.com/wp-content/uploads/2016/10/12-400x284.png
0.035466097,0.7060076,1.3435793,https://www.supremepooltables.com/wp-content/uploads/2019/06/supreme-prince-table2.jpg
-0.21185364,-0.977741,-1.6401,https://photos.smugmug.com/NY-NJ-WONDERS/Animoto-Private/i-KhNxJcx/4/ca2f4491/L/MFS_110917_0058_INPRG-L.jpg
4.4191666,-0.26734653,0.61160177,https://www.che.psu.edu/assets/images/history/petroleum-refining-laboratory.jpg
3.5834458,-0.91703373,1.2106487,https://www.iclarified.com/images/news/52159/247131/247131.png
-3.4055324,1.0571715,-1.1146995,https://i.pinimg.com/originals/48/99/42/489942c5c4969dd03475a355ceb32555.jpg
-2.6324475,0.9417828,1.5570112,https://img.reuter.com/products/blanco/275x275/blanco-botton-pro-60-3-manual-waste-separation-system-3-x-13-litres--blanco-517470_0.jpg
2.1832438,1.5431906,0.5470769,https://campus-map.stanford.edu/tiles/bldg_lbls/17_50795_21042.png
1.4723809,-2.8833225,0.47955745,https://i.pinimg.com/originals/44/e0/f4/44e0f4c1f0d43adbbb76079e0ef76208.jpg
-1.4190271,-0.519406,3.8752856,https://www.installershub.co.uk/wp-content/uploads/Intercyl-Twin-Coil-Open-300x360.jpg
0.4159651,0.3343668,-2.2399497,https://mcdn.wallpapersafari.com/small/66/54/ku7szZ.jpg
-1.8425212,-0.43840352,-3.2919257,https://i.pinimg.com/236x/17/30/67/17306740b42ae8066fc522e5ef7dbcb1--wedding-stuff-dream-wedding.jpg
-3.1648579,-2.832642,-1.64401,https://medias.utsavfashion.com/media/catalog/product/cache/1/small_image/295x/040ec09b1e35df139433887a97daa66f/s/o/solid-color-dupion-silk-long-skirt-in-grey-v1-bjg27_3.jpg
-0.07178562,3.4415329,0.12248688,http://www.myofficeone.com/office/wp-content/uploads/images/projects/higher-education-and-institutions/03/University-demountable-walls-installation-glass-offices-Office-One.jpg
0.878564,-1.169034,1.0239735,https://www.championtimber.com/media/catalog/product/cache/1/thumbnail/275x275/9df78eab33525d08d6e5fb8d27136e95/24754347-1.jpg
0.076807186,-2.4361038,-1.6381186,https://cdn11.bigcommerce.com/s-iiijx0/images/stencil/590x590/products/27361/50695/apifiidju__30601.1602522171.jpg?c=2
-0.28463194,-1.0218546,-0.13055363,https://hellolittlehome.com/wp-content/uploads/2018/08/coffee-cake-muffins-MAIN.jpg
-3.8352382,0.03782121,-0.25306946,https://i.pinimg.com/236x/6c/8c/6a/6c8c6a1cad38c8f70ada197d8d21d01f.jpg
2.7455122,-0.15388303,0.22139399,https://orthopedicnj.com/attachments/News/103/gallery/JoeDiPaolo_thumb-list.jpeg
0.25873223,0.74694717,-1.7097385,https://images.thewest.com.au/publication/B881182718Z/1556594400730_GFT26GMLI.2-2.jpg?imwidth=810&impolicy=wan_v3
2.635957,-1.16727,-1.6977487,https://hellobeautiful.com/wp-content/uploads/sites/50/2016/02/14561716665108.jpg?quality=85&strip=all&w=720
-2.8482735,-2.7962592,-1.8966112,https://www.stellamccartney.com/dw/image/v2/BCWD_PRD/on/demandware.static/-/Sites-master_catalog/default/dw659853e7/Assets/602775SQKC08490_H/large/9/2/b/5/92b57b09472516d4ffc65acc46955618c45e7d4a_602775SQKC08490_H.jpg?sw=1920&sh=2362
-3.362799,-1.9407126,-0.659507,https://cdn.shopify.com/s/files/1/0011/5284/3823/products/844270_300x.jpg?v=1575397570
-2.6427574,-0.021942234,2.257466,http://img.alibaba.com/photo/11391093/Managerial_Office_Desk_With_Return.jpg
-2.8968043,0.37040493,0.8518193,https://s3.amazonaws.com/furniture.retailcatalog.us/products/1328975/large/smith-brothers-furniture-manual-reclining-armless-chair-0-.jpg
4.3989415,-0.6758343,-0.60286325,https://img.theepochtimes.com/assets/uploads/2014/10/06/Photo+10+HK+Protest-BenC-0630-700x420.jpg
