0,1,2
-0.11132918,0.52686024,-0.84262925
0.34460798,-0.1654975,0.9240432
0.1451017,-0.14435369,-0.9788296
0.17850624,-0.39426738,0.9014926
0.972494,0.19694191,-0.12437554
-0.80558085,0.17433818,-0.56625587
-0.4295206,-0.86074764,0.273177
-0.118341416,-0.9706415,-0.20940472
-0.59086084,-0.516758,0.619552
0.60979354,0.6143526,-0.5007221
-0.9415451,-0.11569333,0.3163982
-0.7194351,-0.1287185,0.6825281
-0.8047107,0.027483908,0.59303063
-0.85702956,0.065109454,0.5111371
-0.8972203,-0.12655172,0.42306077
-0.66988623,-0.26259,0.6944774
-0.8114392,0.06225727,0.5811114
-0.83614844,-0.019406063,0.5481598
-0.8328183,-0.0871299,0.5466462
-0.84600115,-0.011301856,0.5330613
-0.8264104,-0.06709077,0.5590568
-0.9066679,-0.07885351,0.41440958
-0.6387194,-0.1271149,0.75886714
-0.6318936,-0.075679176,0.7713515
-0.097645685,-0.5840573,-0.8058179
0.59525466,-0.69078654,0.4104701
-0.5375426,-0.7874769,0.3015429
-0.55265254,-0.7935185,0.25476176
-0.84981906,-0.1634289,-0.50109744
-0.06911808,0.70615417,-0.70467645
-0.23064512,0.8794344,0.41641065
0.30746096,0.8195693,-0.4835017
0.8090881,0.46533585,-0.3589415
-0.083572336,0.980151,0.17977683
-0.48103398,-0.8560762,0.18904987
-0.60485554,0.4366018,-0.66597956
0.1904422,0.905889,-0.37828147
-0.470964,-0.8815361,0.032968495
0.2083115,0.7105862,0.6720666
0.43694767,-0.5988181,0.6711882
0.16702463,0.024715776,-0.9856429
-0.3988812,-0.18674687,-0.89778584
0.33103424,0.9084082,-0.25536433
0.41290998,0.8658923,-0.28237525
0.3689819,0.8742019,-0.3156316
0.1678361,0.9857,0.015050842
0.5265135,0.5711004,0.629784
0.18189098,-0.016533107,0.9831797
-0.57303387,-0.75657165,0.31501028
0.97516453,-0.21850316,0.03619769
0.6131037,-0.51882386,0.5957565
0.065108486,-0.03196966,-0.9973659
0.9556415,0.09377702,0.27920476
-0.45963958,0.65704226,0.5975172
-0.7270697,0.10695713,0.67818123
0.19996016,-0.58643496,-0.7849268
0.41447404,-0.82757086,0.3785996
-0.39069754,-0.90815187,0.15038525
0.976272,0.013478074,0.21612786
0.99854904,-0.053286813,0.00776907
0.12339354,0.9526009,-0.27807474
-0.8693054,0.4865672,-0.08695145
0.60120165,-0.62364763,0.4996201
-0.045380298,-0.22103535,-0.9742095
0.5408103,-0.7386909,0.40231815
-0.08705451,0.9848851,-0.1497426
-0.45822206,0.74916214,-0.47831857
0.10999807,0.09040886,-0.9898114
-0.037193954,0.9222403,-0.38482386
0.6959842,0.16353242,-0.6991876
-0.9127953,0.23653358,0.3329514
-0.61672336,-0.74730605,-0.24735805
0.95023805,-0.060171302,0.3056586
-0.20796168,-0.68134385,-0.7017994
0.461163,-0.22498897,0.85831743
0.38458985,-0.10581374,0.9170028
-0.27409488,0.43332133,0.8585479
0.57481843,-0.08013192,0.8143479
0.22488573,0.4154643,-0.88137156
0.21881787,0.17735621,-0.95951205
0.99658054,-0.014689008,-0.08131116
0.79871756,-0.017607644,-0.6014485
0.7418643,0.43680483,-0.50876206
-0.09123822,0.41616818,0.9046986
-0.114368774,0.72938114,-0.67447984
-0.12654293,0.17628382,-0.97617155
-0.68265,-0.40476215,-0.6084049
-0.21325365,-0.28108028,0.9356905
0.54586166,0.69606936,-0.46639308
