0,1,2
0.13853115,-0.071721494,0.03605649
-0.047544133,-0.16915645,0.15687604
-1.0310571,0.5799064,0.3104882
0.4585029,-0.0027566543,-0.34692842
0.0009862594,-0.025679981,-0.033582672
-1.1996049,-0.33670595,0.9342221
-0.15745872,0.06696202,-0.24311331
0.1994396,-0.19347346,-0.15980275
0.93523145,-0.26291877,-0.75406945
0.0056492947,0.0099780075,0.12612483
-0.12904029,-0.09772319,0.04614014
-0.110290825,-0.016932836,0.05107995
-0.11532152,0.06204323,0.0021593953
0.06391557,-0.14356887,-0.17411943
-0.0009724777,-0.0071947146,-0.07746123
0.13981839,0.55862397,0.28580981
-0.042922612,-0.0317353,-0.06378454
0.32640564,0.2406594,0.34768173
-0.3099996,0.10846466,0.18599601
-0.10490054,0.083388835,0.018675156
0.07121316,0.011815231,0.061900552
-0.052088972,-0.014815119,0.027762488
-0.19592696,-0.043765552,-0.0075869504
0.04665741,0.09746093,-0.023825653
-0.027761396,-0.06137439,0.07867356
-0.01601373,-0.04720936,0.030767728
-0.03269662,-0.009262066,0.36671716
0.09461066,-0.052780103,0.07614222
-0.1774874,0.15596324,0.025270458
-0.0473233,0.0028029643,0.041410595
0.011053644,-0.015948944,-0.037899703
0.022465488,0.013488233,-0.066534705
0.1122223,0.5255511,0.09453345
0.0007513687,-0.029856082,0.02997288
-1.4784727,-0.49911138,0.49501005
-0.007597247,0.13046102,0.4723118
0.027209656,0.09157328,-0.047012612
0.104565285,-0.0007054452,-0.005376867
0.42097947,-0.6533615,0.42386186
-0.0965104,-0.269784,-0.119893156
-0.13645163,-0.015881628,-0.1746474
-0.07275325,0.015827078,0.0063182227
-0.10082513,0.115293525,0.15659742
-0.30903304,-0.14614202,-0.035997562
-0.023604417,-0.0059547285,0.00163051
0.25759628,-0.4811709,0.1337705
0.19542783,0.10938179,0.30969632
0.086584374,0.0145137105,-0.12383942
0.2325701,0.4446347,-0.3357998
-0.0020364807,0.15420529,0.07846938
0.3528427,-0.80314153,0.20798549
0.62036645,-0.04331936,0.11490946
0.60581094,1.1340615,1.1456032
0.05346173,0.07074593,0.0691654
0.119199984,0.081900254,0.09978744
0.54843366,0.21091186,0.2172347
0.31957933,-0.74974656,0.04202693
0.0012094192,0.058569163,-0.080090426
0.22136296,-0.18087012,-0.09745067
-0.00603825,-0.033455577,0.02474602
-0.0075350464,-0.02734048,-0.001590481
0.042751558,-0.048175193,0.045967177
-0.0037651723,0.05378605,-0.015565762
-0.030765973,0.014102868,0.010441216
